PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
4518;Darmoul, Mohamed Amine;GWD, CB;0/0;-;0/6;0%;0/0;-;0/0;-;0/0;-;3/4;75%
4519;Jukic, Nikola;GWD, RB;0/0;-;2/3;66.67%;0/1;0%;0/0;-;0/0;-;0/0;-
4520;Allendorf, Michael;MTM, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
4521;Grebenc, Jan;GWD, LB;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
4522;Korte, Mats;GWD, LW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
4523;Pieczkowski, Niclas;GWD, CB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;0/0;-
4524;Maric, Marino;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4525;Richtzenhain, Justus Nicolas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4526;Kalarash, Gleb;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4527;Thiele, Joshua;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4528;Arnarsson, Arnar Freyr;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4529;Kranzmann, Florian;GWD, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4530;Kuntscher, David;MTM, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4531;Demerza, Alexej;GWD, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4532;Holzhacker, Paul;GWD, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4533;Fuchs, Julian;MTM, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4534;Stoyke, Timo;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4535;Horr, Manuel;MTM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4536;Jeppsson, Simon;HCE, LB;2/2;100%;2/3;66.67%;3/8;37.5%;0/0;-;0/0;-;0/0;-
4537;Wanne, Hampus;SGF, LW;5/6;83.33%;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
4538;Golla, Johannes;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;2/2;100%
4539;Steinert, Christoph;HCE, RB;3/3;100%;1/2;50%;1/5;20%;0/0;-;0/0;-;0/0;-
4540;Steinhauser, Marius;SGF, RW;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-;0/0;-
4541;Firnhaber, Sebastian;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;1/1;100%
4542;Bissel, Christopher;HCE, LW;0/0;-;1/1;100%;0/0;-;1/1;100%;0/0;-;2/2;100%
4543;Semper, Franz;SGF, RB;0/0;-;1/1;100%;2/2;100%;0/0;-;0/0;-;0/0;-
4544;Rod, Magnus;SGF, RB;0/0;-;3/3;100%;0/0;-;0/0;-;0/0;-;0/0;-
4545;Jakobsen, Emil;SGF, LW;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-;0/1;0%
4546;Gottfridsson, Jim;SGF, CB;0/0;-;0/0;-;2/5;40%;0/0;-;0/0;-;0/0;-
4547;Larsen, Mads Mensah;SGF, CB;0/0;-;1/2;50%;1/3;33.33%;0/0;-;0/0;-;0/0;-
4548;Budel, Nico;HCE, CB;0/0;-;2/5;40%;0/1;0%;0/0;-;0/0;-;0/0;-
4549;Metzner, Antonio;HCE, RB;0/0;-;1/4;25%;1/5;20%;0/0;-;0/0;-;0/0;-
4550;Link, Nikolai;HCE, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
4551;Hald Jensen, Simon;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
4552;Leban, Patrik;HCE, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
4553;Sogard, Goran;SGF, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
4554;Svan, Lasse Hansen;SGF, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4555;von Gruchalla, Florian;HCE, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4556;Zechel, Tim;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4557;Lindskog, Anton;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4558;Jaeger, Max;HCE, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4559;Overby, Petter;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4560;Einarsson, Teitur Orn;SGF, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4561;Mensing, Hans Aaron;SGF, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4562;Olsson, Hampus;HCE, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
4563;Ekberg, Niclas;THW, RW;7/7;100%;1/1;100%;0/0;-;1/1;100%;0/0;-;0/0;-
4564;Hansen, Johan a Plogv;HAN, RW;6/7;85.71%;0/1;0%;0/0;-;2/4;50%;0/0;-;0/0;-
4565;Feise, Hannes;HAN, LW;0/0;-;0/0;-;0/0;-;3/4;75%;1/1;100%;2/2;100%
4566;Wiencek, Patrick;THW, P;0/0;-;1/1;100%;0/0;-;0/0;-;3/5;60%;2/2;100%
4567;Sagosen, Sander;THW, CB;0/0;-;4/4;100%;0/1;0%;0/0;-;0/0;-;1/1;100%
4568;Cehte, Nejc;HAN, RB;0/0;-;4/5;80%;0/0;-;0/0;-;0/0;-;0/1;0%
4569;Fischer, Justus;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-
4570;Mavers, Veit;HAN, CB;0/0;-;3/5;60%;0/1;0%;0/0;-;0/0;-;0/0;-
4571;Bilyk, Nikola;THW, LB;0/0;-;1/1;100%;1/1;100%;0/0;-;0/0;-;0/0;-
4572;Landin Jacobsen, Magnus;THW, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;1/1;100%
4573;Duvnjak, Domagoj;THW, CB;0/0;-;0/0;-;2/5;40%;0/0;-;0/0;-;0/0;-
4574;Pekeler, Hendrik;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
4575;Edvardsson, Jonathan;HAN, CB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
4576;Weinhold, Steffen;THW, RB;0/0;-;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
4577;Reinkind, Harald;THW, RB;0/0;-;1/3;33.33%;0/0;-;0/0;-;0/0;-;0/0;-
4578;Bohm, Fabian;HAN, LB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;0/0;-
4579;Horak, Pavel;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4580;Pevnov, Evgeni;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4581;Dahmke, Rune;THW, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4582;Roscheck, Bastian;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4583;Brozovic, Ilija;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4584;Zarabec, Miha;THW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4585;Krone, Jannes;HAN, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4586;Buchner, Vincent;HAN, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4587;Kuzmanovski, Filip;HAN, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4588;Ciudad Benitez, Leon;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4589;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
4590;Martinovic, Ivan;HAN, RB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
4591;Lindberg, Hans;BER, RW;4/5;80%;0/0;-;0/0;-;1/3;33.33%;1/1;100%;0/0;-
4592;Holm, Jacob Tandrup;BER, CB;0/0;-;2/4;50%;3/3;100%;0/0;-;0/1;0%;0/0;-
4593;Muller, Jerome;TVB, RB;0/0;-;2/2;100%;2/8;25%;0/0;-;0/0;-;1/1;100%
4594;Beneke, Max Christoph;BER, RB;0/0;-;3/3;100%;1/1;100%;0/0;-;0/0;-;0/0;-
4595;Matthes, Tim;BER, LW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;2/2;100%
