PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
243;Mensing, Hans Aaron;SGF, LB;0/0;-;1/2;50%;5/9;55.56%;0/0;-;0/0;-;0/0;-
244;Bissel, Christopher;HCE, LW;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%;3/3;100%
245;Larsen, Mads Mensah;SGF, CB;0/0;-;1/2;50%;4/7;57.14%;0/0;-;0/0;-;0/0;-
246;Steinert, Christoph;HCE, RB;2/2;100%;1/2;50%;1/2;50%;0/0;-;0/0;-;0/0;-
247;Gottfridsson, Jim;SGF, CB;0/0;-;3/4;75%;0/0;-;0/0;-;0/0;-;0/0;-
248;Firnhaber, Sebastian;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-
249;Svan, Lasse Hansen;SGF, RW;0/0;-;0/0;-;0/0;-;1/3;33.33%;0/0;-;1/1;100%
250;Olsson, Hampus;HCE, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/1;0%;1/1;100%
251;Budel, Nico;HCE, CB;0/0;-;2/4;50%;0/2;0%;0/0;-;0/1;0%;0/0;-
252;Link, Nikolai;HCE, LB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
253;Zechel, Tim;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
254;Lindskog, Anton;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
255;Jakobsen, Emil;SGF, LW;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
256;Golla, Johannes;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
257;Bult, Mark;SGF, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
258;Sellin, Johannes;HCE, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
259;Steinhauser, Marius;SGF, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
260;Hald Jensen, Simon;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
261;Leban, Patrik;HCE, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
262;Overby, Petter;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
263;Marschall, Tarek;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
264;Helmersson, Mikael;SGF, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
265;Oscar van Oettingen;SGF, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
266;Fath, Steffen;HCE, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
267;Metzner, Antonio;HCE, RB;0/0;-;0/1;0%;0/1;0%;0/0;-;0/0;-;0/0;-
268;Lipovina, Vladan;HBW, RB;1/1;100%;2/2;100%;4/4;100%;0/0;-;0/0;-;0/0;-
269;Strosack, Moritz;HBW, RW;0/0;-;0/0;-;0/0;-;3/3;100%;2/2;100%;2/2;100%
270;Korte, Mats;GWD, LW;0/0;-;1/1;100%;1/1;100%;1/1;100%;1/1;100%;0/1;0%
271;Nothdurft, Tim;HBW, LW;0/0;-;0/1;0%;1/1;100%;2/3;66.67%;0/0;-;1/2;50%
272;Darmoul, Mohamed Amine;GWD, CB;0/0;-;2/4;50%;2/4;50%;0/0;-;0/0;-;0/0;-
273;Staar, Max;GWD, RW;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;1/1;100%
274;Zintel, Bjorn;HBW, CB;0/0;-;0/0;-;3/4;75%;0/0;-;0/0;-;0/0;-
275;Meister, Lucas;GWD, P;0/0;-;1/1;100%;0/0;-;0/0;-;2/4;50%;0/0;-
276;Schoch, Jona;HBW, LB;0/0;-;2/2;100%;1/4;25%;0/0;-;0/0;-;0/0;-
277;Jukic, Nikola;GWD, RB;0/0;-;1/3;33.33%;2/4;50%;0/0;-;0/0;-;0/0;-
278;Pieczkowski, Niclas;GWD, CB;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;0/1;0%
279;Wiederstein, Fabian;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
280;Thomann, Gregor;HBW, RW;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
281;Heinzelmann, Tobias;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
282;Schluroff, Miro;GWD, LB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
283;Urban, Tomas;GWD, RW;0/2;0%;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
284;Zeitz, Christian;GWD, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
285;Janke, Maximilian;GWD, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
286;Richtzenhain, Justus Nicolas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
287;Saueressig, Lukas;HBW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
288;Thiele, Joshua;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
289;Volz, Patrick;HBW, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
290;Kranzmann, Florian;GWD, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
291;Scott Junior, James;HBW, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
292;Ingason, Daniel Thor;HBW, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
293;Stevanovic, Nikola;HBW, RB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
294;Grebenc, Jan;GWD, LB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
295;Allendorf, Michael;MTM, LW;0/1;0%;1/1;100%;0/0;-;4/5;80%;0/0;-;2/2;100%
296;Ekberg, Niclas;THW, RW;2/2;100%;0/0;-;0/0;-;3/4;75%;0/0;-;1/1;100%
297;Landin Jacobsen, Magnus;THW, LW;0/0;-;3/3;100%;0/0;-;3/5;60%;0/0;-;0/0;-
298;Jonsson, Elvar Orn;MTM, CB;0/0;-;3/5;60%;1/2;50%;0/0;-;1/1;100%;0/0;-
299;Sagosen, Sander;THW, CB;1/1;100%;2/6;33.33%;2/3;66.67%;0/0;-;0/0;-;0/0;-
300;Zarabec, Miha;THW, CB;0/0;-;1/3;33.33%;3/3;100%;0/0;-;0/0;-;0/0;-
301;Pavlovic, Domagoj;MTM, CB;0/0;-;3/4;75%;0/0;-;0/0;-;0/0;-;0/0;-
302;Kastening, Timo;MTM, RW;1/2;50%;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-
303;Reinkind, Harald;THW, RB;0/0;-;1/2;50%;2/3;66.67%;0/0;-;0/0;-;0/0;-
304;Weinhold, Steffen;THW, RB;0/0;-;1/1;100%;1/4;25%;0/0;-;0/0;-;1/1;100%
305;Arnarsson, Arnar Freyr;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
306;Wiencek, Patrick;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
307;Duvnjak, Domagoj;THW, CB;0/0;-;2/3;66.67%;0/1;0%;0/0;-;0/0;-;0/0;-
308;Hafner, Kai;MTM, RB;0/0;-;1/5;20%;1/4;25%;0/0;-;0/0;-;0/0;-
309;Maric, Marino;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
310;Bilyk, Nikola;THW, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
311;Petersson, Alexander;MTM, RB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
312;Reichmann, Tobias;MTM, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
313;Pekeler, Hendrik;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;1/1;100%
314;Kuhn, Julius;MTM, LB;0/0;-;0/0;-;1/4;25%;0/0;-;0/0;-;0/0;-
315;Horak, Pavel;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
316;Lemke, Finn;MTM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
317;Kunkel, Yves;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
318;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
319;Dahmke, Rune;THW, LW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
320;Gensheimer, Uwe;RNL, LW;5/6;83.33%;0/0;-;0/0;-;3/6;50%;2/2;100%;1/1;100%
321;Hornke, Tim;SCM, RW;0/0;-;0/0;-;0/0;-;4/5;80%;0/0;-;1/1;100%
322;Mertens, Lukas;SCM, LW;0/0;-;1/1;100%;0/0;-;1/1;100%;0/0;-;2/2;100%
323;Ahouansou, Philipp;RNL, LB;0/0;-;2/2;100%;2/2;100%;0/0;-;0/0;-;0/0;-
324;Magnusson, Omar Ingi;SCM, RB;1/2;50%;2/5;40%;1/1;100%;0/0;-;0/0;-;0/0;-
325;Lagergren, Albin;RNL, RB;0/0;-;3/3;100%;0/0;-;0/0;-;0/0;-;0/0;-
326;Groetzki, Patrick;RNL, RW;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-;0/0;-
327;Gullerud, Magnus;SCM, P;0/0;-;1/1;100%;0/0;-;0/0;-;2/3;66.67%;0/0;-
328;Bezjak, Marko;SCM, CB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;1/1;100%
329;O'Sullivan, Christian;SCM, CB;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-
330;Jensen, Magnus Saugstrup;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%
331;Nilsson, Lukas;RNL, LB;0/0;-;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-
332;Kohlbacher, Jannik;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;2/5;40%;0/0;-
333;Weber, Philipp;SCM, CB;0/0;-;2/3;66.67%;0/3;0%;0/0;-;0/0;-;0/0;-
334;Kirsten Evert Smits, Kay;SCM, RB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
335;Chrapkowski, Piotr;SCM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
336;Pettersson, Daniel;SCM, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;1/1;100%
337;Patrail, Mait;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
338;Preuss, Moritz;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
339;Kristjansson, Gisli Thorgeir;SCM, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
340;Abutovic, Ilija;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
341;Gislason, Ymir Orn;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
342;Diocou Soumare, Mamadou Lamine;RNL, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
343;Horzen, Kristjan;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
344;Schmid, Andre;RNL, CB;0/0;-;0/1;0%;0/1;0%;0/0;-;0/0;-;0/0;-
345;Damgaard Nielsen, Michael;SCM, LB;0/0;-;0/1;0%;0/1;0%;0/0;-;0/0;-;0/0;-
346;Vest Kirkelokke, Niclas;RNL, RB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
347;Knorr, Juri;RNL, CB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
348;Holm, Jacob Tandrup;BER, CB;0/0;-;4/5;80%;3/4;75%;0/0;-;0/0;-;0/0;-
349;Marsenic, Mijajlo;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;4/5;80%;2/2;100%
350;Binder, Lukas;LEI, LW;0/0;-;0/0;-;0/0;-;1/1;100%;2/2;100%;2/2;100%
351;Krzikalla, Lucas;LEI, RW;4/6;66.67%;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
352;Matthes, Tim;BER, LW;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-;1/1;100%
353;Lindberg, Hans;BER, RW;3/3;100%;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
354;Michalczik, Marian;BER, LB;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-;1/1;100%
355;Witzke, Luca;LEI, CB;0/0;-;1/1;100%;2/3;66.67%;0/0;-;0/0;-;0/0;-
356;Gebala, Maciej;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;3/5;60%;0/0;-
357;Andersson, Lasse Bredekjaer;BER, LB;0/0;-;2/3;66.67%;0/2;0%;0/0;-;0/0;-;1/1;100%
358;Larsen, Patrick Wiesmach;LEI, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;1/2;50%
359;Ivic, Sime;LEI, RB;0/0;-;1/1;100%;0/4;0%;0/0;-;0/0;-;1/1;100%
360;Milosevic, Alen;LEI, P;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
361;Wiede, Fabian;BER, RB;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-;0/0;-
362;Drux, Paul;BER, LB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
363;Remke, Gregor;LEI, RB;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-;0/0;-
364;Vujovic, Milos;BER, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%
365;Sunnefeldt, Oskar;LEI, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;1/1;100%
366;Jotic, Lovro;LEI, CB;0/0;-;0/1;0%;1/2;50%;0/0;-;0/0;-;0/0;-
367;Meyer-Siebert, Julius;LEI, LB;0/0;-;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
368;Koch, Johan;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
369;Ernst, Simon;LEI, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
370;Kopljar, Marko;BER, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
371;Mamic, Marko;LEI, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
372;Chrintz, Valter;BER, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
373;Esche, Marc;LEI, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
374;Lichtlein, Nils;BER, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
375;Langhoff, Matthes;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
376;Elisson, Bjarki Mar;TBV, LW;2/2;100%;0/0;-;0/0;-;3/4;75%;1/1;100%;2/2;100%
377;Carlsbogard, Jonathan;TBV, LB;0/0;-;1/3;33.33%;6/10;60%;0/0;-;0/0;-;1/1;100%
378;Cavor, Stefan;WET, RB;0/0;-;3/4;75%;3/6;50%;0/0;-;0/0;-;0/0;-
379;Mellegard, Emil;WET, LW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;3/3;100%
380;Weissgerber, Lars;WET, RW;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-;2/2;100%
381;Rubin, Lenny;WET, LB;0/0;-;2/2;100%;3/6;50%;0/0;-;0/0;-;0/0;-
382;Danner, Felix;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
383;Guardiola Villaplana, Gedeon;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;1/2;50%
384;Fredriksen, Magnus;WET, CB;0/0;-;2/3;66.67%;0/1;0%;0/0;-;0/0;-;0/0;-
385;Hutecek, Lukas;TBV, LB;0/0;-;2/4;50%;0/0;-;0/0;-;0/0;-;0/0;-
386;Schagen, Bobby;TBV, RW;0/0;-;2/3;66.67%;0/0;-;0/2;0%;0/0;-;0/0;-
387;Holst, Maximilian;WET, LW;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
388;Forsell Schefvert, Olle;WET, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/1;0%
389;Timm, Marcel;TBV, P;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
390;Guardiola Villaplana, Isaias;TBV, RB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;0/0;-
391;Kogut, Andrej;TBV, CB;0/0;-;1/2;50%;0/3;0%;0/0;-;0/0;-;0/0;-
392;Mirkulovski, Filip;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
393;Gempp, Patrick;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
394;Srsen, Ivan;WET, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
395;Novak, Domen;WET, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
396;Reitemann, Michel;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
397;Blaauw, Niko;TBV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
398;Schwarzer, Kian;TBV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
399;Zerbe, Lukas;TBV, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
400;Nyfjall, Adam;WET, P;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
401;Ebner, Dominik;NLB, RB;0/0;-;4/4;100%;1/2;50%;0/0;-;0/0;-;0/0;-
402;Heymann, Sebastian;FAG, LB;0/0;-;4/4;100%;1/3;33.33%;0/0;-;0/0;-;0/0;-
403;Schiller, Marcel;FAG, LW;2/4;50%;0/0;-;0/0;-;2/3;66.67%;0/0;-;1/2;50%
404;Gulliksen, Kevin Maageroe;FAG, RW;0/1;0%;0/2;0%;0/0;-;2/3;66.67%;0/0;-;3/4;75%
405;Petreikis, Benas;NLB, CB;0/0;-;3/4;75%;1/2;50%;0/0;-;0/0;-;0/0;-
406;Petrovsky, Leos;NLB, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
407;Kontrec, Tin;NLB, P;0/0;-;1/1;100%;0/0;-;0/0;-;1/1;100%;1/1;100%
408;Lindenchrone Andersen, Jon;FAG, RB;0/0;-;2/4;50%;1/1;100%;0/0;-;0/0;-;0/0;-
409;Kozina, Kresimir;FAG, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
410;Smarason, Janus Dadi;FAG, CB;0/0;-;1/1;100%;0/0;-;0/0;-;1/2;50%;0/0;-
411;Speckmann, Jan-Eric;NLB, LW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;1/1;100%
412;Kneule, Tim;FAG, CB;0/0;-;1/2;50%;1/2;50%;0/0;-;0/0;-;0/0;-
413;Nissen, Marek;NLB, LB;0/0;-;2/2;100%;0/2;0%;0/0;-;0/0;-;0/0;-
414;Skroblien, Tom;NLB, LW;1/1;100%;1/2;50%;0/0;-;0/1;0%;0/1;0%;0/0;-
415;Goller, Axel;FAG, RW;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
416;Hermann, Till;FAG, LW;0/0;-;0/1;0%;0/0;-;1/1;100%;0/0;-;0/0;-
417;Bagersted, Jacob;FAG, P;0/0;-;1/1;100%;0/0;-;0/0;-;0/1;0%;0/0;-
418;Mrakovcic, Luka;NLB, CB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
419;Strosack, Peter;NLB, RW;0/0;-;0/0;-;0/0;-;0/2;0%;1/1;100%;0/0;-
420;Baumgartner, Florian;NLB, RB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/0;-
421;Ellebaek, Tobias;FAG, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
422;Neudeck, Oskar;FAG, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
423;Mundus, Marvin;NLB, RW;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
424;Mortensen, Casper Ulrich;HSV, LW;2/3;66.67%;0/0;-;1/1;100%;3/4;75%;0/0;-;1/1;100%
425;Weller, Niklas;HSV, P;2/2;100%;0/0;-;0/0;-;0/0;-;5/8;62.5%;0/0;-
426;Gunnarsson, Arnor Thor;BHC, RW;0/0;-;0/0;-;0/0;-;4/4;100%;2/2;100%;0/0;-
427;Damm, Sebastian;BHC, LW;0/0;-;0/0;-;0/0;-;3/4;75%;1/1;100%;0/0;-
428;Schonningsen, Simen Nicolay;BHC, RB;0/0;-;4/5;80%;0/1;0%;0/0;-;0/0;-;0/0;-
429;Wullenweber, Finn;HSV, LB;0/0;-;1/1;100%;3/6;50%;0/0;-;0/0;-;0/0;-
430;Weck, Alexander;BHC, LB;0/0;-;2/4;50%;2/3;66.67%;0/0;-;0/0;-;0/0;-
431;Gutbrod, Fabian;BHC, LB;0/0;-;0/0;-;3/3;100%;0/0;-;0/0;-;0/0;-
432;Forstbauer, Jan;HSV, RB;0/0;-;2/3;66.67%;1/3;33.33%;0/0;-;0/0;-;0/0;-
433;Arnesson, Linus;BHC, LB;0/0;-;1/2;50%;2/4;50%;0/0;-;0/1;0%;0/0;-
434;Darj, Max;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
435;Babak, Tomas;BHC, CB;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-
436;Bauer, Philipp;HSV, CB;0/0;-;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-
437;Schmidt, David;BHC, RB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
438;Schimmelbauer, Tobias;HSV, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
439;Valiullin, Azat;HSV, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
440;Stutzke, Lukas;BHC, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
441;Hansson, Emil;BHC, RW;0/0;-;1/1;100%;0/0;-;0/1;0%;0/0;-;0/0;-
442;Tissier, Leif;HSV, CB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
443;Szucs, Csaba;BHC, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
444;Boomhouwer, Jeffrey;BHC, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
445;Ossenkopp, Lukas;HSV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
446;Bergemann, Thies;HSV, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
447;Kleineidam, Jan;HSV, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
448;Gertges, Jonas;HSV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
449;Andersen, Frederik Bo;HSV, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
450;Nikolaisen Svegard, Tom Kare;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
451;Spath, Manuel;HSV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
452;Martinovic, Ivan;HAN, RB;0/0;-;6/7;85.71%;4/6;66.67%;0/0;-;0/0;-;0/0;-
453;Kristjansson, Viggo;TVB, RB;3/3;100%;2/2;100%;1/2;50%;0/0;-;0/0;-;0/0;-
454;Pevnov, Evgeni;HAN, P;0/0;-;1/1;100%;0/0;-;0/0;-;4/4;100%;0/0;-
455;Mavers, Veit;HAN, CB;0/0;-;4/6;66.67%;0/2;0%;0/0;-;0/0;-;1/1;100%
456;Brozovic, Ilija;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-
457;Hanne, Martin;HAN, LB;0/0;-;2/2;100%;2/3;66.67%;0/0;-;0/0;-;0/0;-
458;Lonn, Adam;TVB, LB;0/0;-;1/4;25%;3/6;50%;0/0;-;0/0;-;0/0;-
459;Hansen, Johan a Plogv;HAN, RW;2/4;50%;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/0;-
460;Peshevski, Zarko;TVB, P;0/0;-;1/1;100%;0/0;-;0/0;-;1/1;100%;0/0;-
461;Augustinussen, Sebastian;TVB, RW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;0/0;-
462;Feise, Hannes;HAN, LW;0/0;-;0/0;-;0/1;0%;2/2;100%;0/0;-;0/0;-
463;Muller, Jerome;TVB, RB;0/0;-;1/1;100%;1/3;33.33%;0/0;-;0/0;-;0/0;-
464;Runarsson, Andri Mar;TVB, CB;0/0;-;1/1;100%;0/3;0%;0/0;-;0/0;-;1/2;50%
465;Hanusz, Egon;TVB, CB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
466;Rothlisberger, Samuel;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
467;Weiss, Dominik;TVB, LB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
468;Kuzmanovski, Filip;HAN, LB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
469;Pfattheicher, Sascha;TVB, RW;0/0;-;0/0;-;0/1;0%;1/3;33.33%;0/0;-;0/0;-
470;Bohm, Fabian;HAN, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
471;Meschke, Benjamin;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
472;Roscheck, Bastian;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
473;Edvardsson, Jonathan;HAN, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
474;Krone, Jannes;HAN, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
475;Buchner, Vincent;HAN, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
476;Schulze, Alexander;TVB, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
477;Zieker, Patrick;TVB, LW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
478;Cehte, Nejc;HAN, RB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
479;Holst, Maximilian;WET, LW;5/7;71.43%;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-
480;Magnusson, Omar Ingi;SCM, RB;3/4;75%;4/5;80%;0/0;-;0/0;-;0/0;-;0/0;-
481;Novak, Domen;WET, RW;0/0;-;1/1;100%;0/0;-;4/4;100%;0/0;-;1/1;100%
482;Pettersson, Daniel;SCM, RW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;1/1;100%
483;Weber, Philipp;SCM, CB;0/0;-;3/4;75%;1/1;100%;0/0;-;0/0;-;0/0;-
