PL;Player Name;Team;Team Position;7M Goal;7M Shot;7MACC;6M Goal;6M Shot;6MACC;9M Goal;9M Shot;9MACC;Wing Goal;Wing Shot;WINGACC;Pivot Goal;Pivot Shot;PIVOTACC;Fastbreak Goal;Fastbreak Shot;FASTBREAKACC;Total Goal;Total Shot
140;Bezjak, Marko;SCM;CB;0;0;0,00;3;3;1,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;3;3
141;Jensen, Magnus Saugstrup;SCM;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;3;3;1,00;0;0;0,00;3;3
142;Schulze, Alexander;TVB;LW;0;0;0,00;0;0;0,00;0;0;0,00;2;2;1,00;0;0;0,00;1;1;1,00;3;3
143;Mertens, Lukas;SCM;LW;0;0;0,00;0;0;0,00;0;0;0,00;1;2;0,50;0;0;0,00;1;1;1,00;2;3
144;Pettersson, Daniel;SCM;RW;0;0;0,00;0;1;0,00;0;0;0,00;2;2;1,00;0;0;0,00;0;0;0,00;2;3
145;O'Sullivan, Christian;SCM;CB;0;0;0,00;2;2;1,00;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;2;3
146;Kirsten Evert Smits, Kay;SCM;RB;0;0;0,00;0;1;0,00;1;1;1,00;0;0;0,00;0;0;0,00;1;1;1,00;2;3
147;Gullerud, Magnus;SCM;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;2;3;0,67;0;0;0,00;2;3
148;Damgaard Nielsen, Michael;SCM;LB;0;0;0,00;1;1;1,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1
149;Hanusz, Egon;TVB;CB;0;1;0,00;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1;1,00;1;3
150;Augustinussen, Sebastian;TVB;RW;0;0;0,00;0;1;0,00;0;0;0,00;1;2;0,50;0;0;0,00;0;0;0,00;1;3
151;Muller, Jerome;TVB;RB;0;0;0,00;1;1;1,00;0;3;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;4
152;Pfattheicher, Sascha;TVB;RW;0;0;0,00;0;0;0,00;0;0;0,00;1;3;0,33;0;0;0,00;0;2;0,00;1;5
153;Preuss, Moritz;SCM;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
154;Chrapkowski, Piotr;SCM;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
155;Kristjansson, Gisli Thorgeir;SCM;CB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
156;Foege, Luis Plymford;TVB;RB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
157;Runarsson, Andri Mar;TVB;CB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
158;Rothlisberger, Samuel;TVB;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0,00;0;0;0,00;0;1
159;Kohlbacher, Jannik;RNL;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;6;7;0,86;0;0;0,00;6;7
160;Hansen, Johan a Plogv;HAN;RW;0;0;0,00;1;1;1,00;0;0;0,00;2;5;0,40;1;1;1,00;1;1;1,00;5;8
161;Knorr, Juri;RNL;CB;0;0;0,00;3;4;0,75;2;4;0,50;0;0;0,00;0;0;0,00;1;1;1,00;6;9
162;Martinovic, Ivan;HAN;RB;0;0;0,00;2;2;1,00;1;2;0,50;0;0;0,00;0;0;0,00;0;2;0,00;3;6
163;Kuzmanovski, Filip;HAN;LB;0;0;0,00;1;1;1,00;2;3;0,67;0;0;0,00;0;0;0,00;0;0;0,00;3;4
164;Gensheimer, Uwe;RNL;LW;0;0;0,00;0;0;0,00;0;1;0,00;3;4;0,75;0;0;0,00;0;0;0,00;3;5
165;Bohm, Fabian;HAN;LB;0;0;0,00;1;3;0,33;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;3
166;Schmid, Andre;RNL;CB;0;0;0,00;1;1;1,00;1;4;0,25;0;0;0,00;0;0;0,00;0;0;0,00;2;5
167;Pevnov, Evgeni;HAN;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1;1,00;1;1;1,00;2;2
168;Brozovic, Ilija;HAN;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;2;3;0,67;0;0;0,00;2;3
169;Edvardsson, Jonathan;HAN;CB;0;0;0,00;2;2;1,00;0;0;0,00;0;0;0,00;0;1;0,00;0;0;0,00;2;3
170;Groetzki, Patrick;RNL;RW;0;0;0,00;0;0;0,00;0;0;0,00;1;2;0,50;0;0;0,00;1;1;1,00;2;3
171;Nilsson, Lukas;RNL;LB;0;0;0,00;1;1;1,00;0;2;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;3
172;Vest Kirkelokke, Niclas;RNL;RB;0;0;0,00;1;3;0,33;0;0;0,00;0;0;0,00;1;1;1,00;0;0;0,00;2;4
173;Lagergren, Albin;RNL;RB;0;0;0,00;0;0;0,00;0;2;0,00;0;0;0,00;0;0;0,00;1;1;1,00;1;3
174;Helander, Benjamin;RNL;LW;0;0;0,00;0;0;0,00;0;0;0,00;1;1;1,00;0;0;0,00;0;0;0,00;1;1
175;Ahouansou, Philipp;RNL;LB;0;0;0,00;0;0;0,00;1;1;1,00;0;0;0,00;0;0;0,00;0;0;0,00;1;1
176;Hanne, Martin;HAN;LB;0;0;0,00;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;1;2
177;Buchner, Vincent;HAN;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;2;0,00;1;1;1,00;0;0;0,00;1;3
178;Patrail, Mait;RNL;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
179;Roscheck, Bastian;HAN;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
180;Feise, Hannes;HAN;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
181;Abutovic, Ilija;RNL;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
182;Gislason, Ymir Orn;RNL;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
183;Ehlers, Matteo;HAN;LB;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
184;Horzen, Kristjan;RNL;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
185;Depping, Luc;HAN;RW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0
186;Cehte, Nejc;HAN;RB;0;0;0,00;0;0;0,00;0;2;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;2
