MatchId;Player Name;Team;Position;7M Save;7M Save Accuracy;6M Save;6M Save Accuracy;9M Save;9M Save Accuracy;Wing Save;Wing Save Accuracy;Pivot Save;Pivot Save Accuracy;Fastbreak Save;Fastbreak Save Accuracy
65;Jensen Mike;SCM;GK;0;0;0;0;0;0;0;0;0;0;0;0
66;Buric Benjamin;SGF;GK;0;0;0;0;50;41,67;40;66,67;0;0;0;0
66;Thulin Tobias;TVB;GK;10;33,33;20;66,67;10;14,29;10;1,25;0;0;0;0
66;Prost Primoz;TVB;GK;0;0;0;0;0;0;10;0,25;0;0;0;0
66;M?ller Kevin;SGF;GK;0;0;0;0;10;1;0;0;0;0;0;0
67;Milosavljev Dejan;BER;GK;0;0;50;41,67;30;0,6;20;22,22;0;0;0;0
67;Rezar Aljosa;NLB;GK;0;0;0;0;20;66,67;10;1;0;0;20;66,67
67;Asheim Havard;NLB;GK;0;0;20;0,25;10;33,33;20;0,25;0;0;0;0
67;Genz Fredrik;BER;GK;0;0;0;0;0;0;0;0;0;0;0;0
68;Suljakovic Anadin;WET;GK;0;0;30;0,3;20;0,4;40;57,14;0;0;40;57,14
68;Palicka Andreas;RNL;GK;0;0;50;27,78;20;0,4;30;42,86;0;0;0;0
68;Klimpke Till;WET;GK;0;0;0;0;0;0;0;0;10;1;0;0
68;Katsigiannis Nikolas;RNL;GK;0;0;0;0;0;0;0;0;0;0;0;0
68;Spath David;RNL;GK;0;0;0;0;0;0;0;0;0;0;0;0
69;Zecher Finn;TBV;GK;0;0;20;0,2;30;0,6;20;0,5;10;0,25;0;0
69;Semisch Malte;GWD;GK;10;0,5;20;16,67;20;1;20;22,22;0;0;0;0
69;Johannesson Peter;TBV;GK;0;0;0;0;20;0,5;0;0;0;0;0;0
69;Lichtlein Carsten;GWD;GK;0;0;0;0;0;0;0;0;0;0;0;0
70;Lesjak Urban;HAN;GK;0;0;30;17,65;10;0,5;10;33,33;20;33,33;0;0
70;Semisch Malte;GWD;GK;0;0;10;8,33;20;0,5;20;0,5;10;33,33;0;0
70;Lichtlein Carsten;GWD;GK;0;0;10;0,2;10;33,33;0;0;0;0;0;0
70;Ritschel Matthias;HAN;GK;0;0;0;0;0;0;0;0;0;0;0;0
71;Sejr Jensen Simon;HBW;GK;0;0;40;33,33;30;0,75;10;0,2;10;0,2;20;0,25
71;Palicka Andreas;RNL;GK;0;0;50;55,56;20;0,5;20;0,4;0;0;0;0
71;Spath David;RNL;GK;10;1;20;0,4;10;0,5;0;0;0;0;0;0
71;Ruminsky Mario;HBW;GK;0;0;10;0,5;0;0;0;0;0;0;0;0
72;Rudeck Christopher;BHC;GK;20;66,67;0;0;100;66,67;40;1;0;0;0;0
