7MSHOT;7MACC;6MSHOT;6MACC;9MSHOT;9MACC;WINGSHOT;WINGACC;PIVOTSHOT;PIVOTACC;FASTBREAKSHOT;FASTBREAKACC;SHOT;GOAL
0;0;0;0;0;0;1;0;0;0;3;1;4;3
6;1;2;1;1;1;0;0;0;0;0;0;9;9
4;0.75;0;0;0;0;6;0.83;0;0;1;1;11;9
0;0;0;0;0;0;1;0;0;0;3;1;4;3
0;0;0;0;0;0;5;0.8;0;0;1;1;6;5
1;1;1;0;0;0;4;0.75;0;0;0;0;6;4
1;1;0;0;0;0;0;0;0;0;0;0;1;1
0;0;0;0;0;0;2;0.5;0;0;0;0;2;1
0;0;0;0;0;0;2;0.5;0;0;0;0;2;1
0;0;0;0;0;0;3;0.33;0;0;1;0;4;1
3;0.33;1;1;0;0;7;0.86;1;1;2;1;14;11
0;0;0;0;0;0;3;0.33;1;1;0;0;4;2
0;0;1;0;0;0;2;0.5;0;0;1;1;4;2
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;1;0;0;0;0;0;0;0;0;0;1;0
0;0;0;0;0;0;2;1;0;0;3;1;5;5
0;0;0;0;0;0;3;0.67;0;0;2;1;5;4
1;0;0;0;0;0;1;1;0;0;0;0;2;1
0;0;0;0;0;0;3;1;0;0;1;1;4;4
0;0;0;0;0;0;2;0;0;0;1;1;3;1
0;0;0;0;0;0;1;0;0;0;0;0;1;0
2;0;0;0;1;1;5;1;1;1;1;1;10;8
0;0;0;0;0;0;4;1;0;0;1;1;5;5
2;1;0;0;0;0;0;0;0;0;0;0;2;2
5;0.8;0;0;0;0;1;1;2;1;0;0;8;7
3;1;0;0;0;0;1;1;0;0;0;0;4;4
0;0;1;1;0;0;2;1;1;1;0;0;4;4
0;0;0;0;0;0;3;0.67;0;0;1;1;4;3
1;0;1;1;0;0;3;0.33;0;0;2;1;7;4
0;0;1;1;0;0;2;0;0;0;1;1;4;2
5;1;0;0;0;0;2;1;0;0;0;0;7;7
2;1;1;1;0;0;0;0;0;0;0;0;3;3
0;0;0;0;0;0;0;0;0;0;3;1;3;3
0;0;0;0;0;0;1;1;1;1;0;0;2;2
3;1;0;0;0;0;1;1;0;0;0;0;4;4
4;0.5;0;0;1;1;0;0;0;0;0;0;5;3
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;0;0;0;0;1;0;0;0;0;0;1;0
0;0;0;0;0;0;1;1;0;0;0;0;1;1
1;0;0;0;0;0;0;0;0;0;1;1;2;1
0;0;0;0;1;0;1;1;0;0;0;0;2;1
0;0;0;0;1;0;2;0.5;1;0;0;0;4;1
3;1;0;0;1;0;3;0.67;1;1;6;1;14;12
2;1;0;0;0;0;0;0;2;0.5;0;0;4;3
0;0;0;0;0;0;1;1;0;0;1;1;2;2
5;1;0;0;0;0;4;0.75;0;0;1;1;10;9
0;0;0;0;0;0;2;0.5;0;0;1;1;3;2
